featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Mading,Mading,,28.12111201,8.515021193,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Wun Tur,Wun Tur,,28.06512742,8.523890806,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Alabek,Alabek,,28.92216213,8.519942165,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Agaigai,Agaigai,,28.54201051,8.53044431,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Atiam Tiam,Atiam Tiam,,28.93030876,8.532144052,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Long Kap,Long Kap,,28.95388033,8.533294989,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Wau Wau,Wau Wau,,29.09667879,8.534356809,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Mentiel,Mentiel,,28.62107793,8.535002199,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Manolom,Manolom,,28.15668291,8.535317893,Warrap,Gogrial West,Alek South,Ngapathian,42,28.10580194,8.57656553,1221,28.14182298,8.585838218,285,28.14947446,8.61208577
War Shuai,War Shuai,,27.97533362,8.535980129,Warrap,Gogrial West,Gogrial,Maluilajak,42,28.10580194,8.57656553,1226,27.9760807,8.467592431,287,28.03302642,8.496977221
Gogrial,Gogrial,,28.09965523,8.536646385,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Fan Kor,Fan Kor,,28.98372463,8.544325077,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Mading,Mading,,28.21734585,8.549034005,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
Fagok Bek,Fagok Bek,,28.26924186,8.551550431,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
Lang,Lang,,28.07427697,8.552177461,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Manyiel,Manyiel,,28.341833,8.55251,Warrap,Gogrial East,Toch West,Panacier,41,28.59139128,8.600532026,1209,28.38210015,8.582609405,281,28.32909235,8.462330446
Wunchuei,Wunchuei,,28.488433,8.55353,Warrap,Gogrial East,Toch East,Thuramon,41,28.59139128,8.600532026,1205,28.82166759,8.85098921,279,28.76969085,8.788344901
Afras,Afras,,28.42880241,8.553602429,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Bwol',Bwol,,28.08277099,8.562859895,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Nerakech,Nerakech,,28.11632605,8.563163302,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Lundur,Lundur,,28.30124118,8.563649592,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
Awutwut,Awutwut,Awut Wut,28.58912578,8.564821267,Warrap,Gogrial East,Nyang,Mayenjur,41,28.59139128,8.600532026,1198,28.61175894,8.583201902,276,28.61175894,8.583201902
Malweil,Malweil,,27.98541728,8.565682813,Warrap,Gogrial West,Gogrial,Mandeng,42,28.10580194,8.57656553,1227,28.06557772,8.480766752,287,28.03302642,8.496977221
Ling Dit,Ling Dit,,28.42465118,8.569611632,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
